rank,name,nationality,team,points,rider_url
129,LECERF Junior,BE,Soudal Quick-Step,277.0,https://www.procyclingstats.com/rider/junior-lecerf
130,PARET-PEINTRE Aurélien,FR,Decathlon AG2R La Mondiale Team,276.0,https://www.procyclingstats.com/rider/aurelien-paret-peintre
131,LAURANCE Axel,FR,INEOS Grenadiers,275.0,https://www.procyclingstats.com/rider/axel-laurance
132,FREDHEIM Stian,NO,Uno-X Mobility,274.0,https://www.procyclingstats.com/rider/stian-fredheim
133,REX Laurenz,BE,Intermarché - Wanty,274.0,https://www.procyclingstats.com/rider/laurenz-rex
134,RODRÍGUEZ Carlos,ES,INEOS Grenadiers,273.0,https://www.procyclingstats.com/rider/carlos-rodriguez-cano
135,COSNEFROY Benoît,FR,Decathlon AG2R La Mondiale Team,273.0,https://www.procyclingstats.com/rider/benoit-cosnefroy
136,ALAPHILIPPE Julian,FR,Tudor Pro Cycling Team,267.0,https://www.procyclingstats.com/rider/julian-alaphilippe
137,PLAPP Luke,AU,Team Jayco AlUla,265.0,https://www.procyclingstats.com/rider/luke-plapp
138,SEIXAS Paul,FR,Decathlon AG2R La Mondiale Team,265.0,https://www.procyclingstats.com/rider/paul-seixas
139,HINDLEY Jai,AU,Red Bull - BORA - hansgrohe,264.0,https://www.procyclingstats.com/rider/jai-hindley
140,VAN POPPEL Danny,NL,Red Bull - BORA - hansgrohe,262.0,https://www.procyclingstats.com/rider/danny-van-poppel
141,BARRENETXEA Jon,ES,Movistar Team,261.0,https://www.procyclingstats.com/rider/jon-barrenetxea-golzarri
142,BITTNER Pavel,CZ,Team Picnic PostNL,260.0,https://www.procyclingstats.com/rider/pavel-bittner
143,TARLING Joshua,GB,INEOS Grenadiers,260.0,https://www.procyclingstats.com/rider/joshua-tarling
144,HARPER Chris,AU,Team Jayco AlUla,259.0,https://www.procyclingstats.com/rider/chris-harper
145,PLUIMERS Rick,NL,Tudor Pro Cycling Team,258.0,https://www.procyclingstats.com/rider/rick-pluimers
146,DE PLUS Laurens,BE,INEOS Grenadiers,254.0,https://www.procyclingstats.com/rider/laurens-de-plus
147,VENTURINI Clément,FR,Arkéa - B&B Hotels,253.0,https://www.procyclingstats.com/rider/clement-venturini
148,ZIMMERMANN Georg,DE,Intermarché - Wanty,249.0,https://www.procyclingstats.com/rider/georg-zimmermann
149,BARONCINI Filippo,IT,UAE Team Emirates - XRG,249.0,https://www.procyclingstats.com/rider/filippo-baroncini
150,CANAL Carlos,ES,Movistar Team,248.0,https://www.procyclingstats.com/rider/carlos-canal
151,JEGAT Jordan,FR,Team TotalEnergies,248.0,https://www.procyclingstats.com/rider/jordan-jegat
152,WITHEN PHILIPSEN Albert,DK,Lidl - Trek,246.0,https://www.procyclingstats.com/rider/albert-withen-philipsen
153,STORK Florian,DE,Tudor Pro Cycling Team,246.0,https://www.procyclingstats.com/rider/florian-stork
154,HAYTER Ethan,GB,Soudal Quick-Step,245.0,https://www.procyclingstats.com/rider/ethan-hayter
155,DÍAZ José Manuel,ES,Burgos Burpellet BH,241.0,https://www.procyclingstats.com/rider/jose-manuel-diaz-gallego
156,QUARTUCCI Lorenzo,IT,Team Solution Tech - Vini Fantini,239.0,https://www.procyclingstats.com/rider/lorenzo-quartucci
