fantasy_name,team,category,price,pcs_match_found,match_similarity,pcs_name,pcs_rank,pcs_points_2025,pcs_nationality,pcs_team,pcs_url,points_per_credit,value_category
C. HAMILTON,Team Picnic PostNL,Climbers,12,True,1.1,HAMILTON Chris,527.0,74.0,AU,Team Picnic PostNL,https://www.procyclingstats.com/rider/chris-hamilton,6.166666666666667,Poor
M. VANSEVENANT,Soudal Quick-Step,All-rounders,12,True,1.0,VANSEVENANT Mauri,546.0,69.0,BE,Soudal Quick-Step,https://www.procyclingstats.com/rider/mauri-vansevenant,5.75,Poor
V. CAMPENAERTS,Team Visma | Lease a Bike,All-rounders,12,True,1.0,CAMPENAERTS Victor,280.0,180.0,BE,Team Visma | Lease a Bike,https://www.procyclingstats.com/rider/victor-campenaerts,15.0,Average
W. KELDERMAN,Team Visma | Lease a Bike,Climbers,12,True,1.0,KELDERMAN Wilco,344.0,135.0,NL,Team Visma | Lease a Bike,https://www.procyclingstats.com/rider/wilco-kelderman,11.25,Average
R. MOLARD,Groupama - FDJ,Climbers,12,True,1.1,MOLARD Rudy,539.0,71.0,FR,Groupama - FDJ,https://www.procyclingstats.com/rider/rudy-molard,5.916666666666667,Poor
J. CEPEDA,Movistar Team,Climbers,12,True,1.0,CEPEDA Jefferson Alveiro,324.0,146.0,EC,Movistar Team,https://www.procyclingstats.com/rider/jefferson-cepeda-hernandez,12.166666666666666,Average
W. POELS,XDS Astana Team,Climbers,12,True,1.1,POELS Wout,149.0,304.0,NL,XDS Astana Team,https://www.procyclingstats.com/rider/wout-poels,25.333333333333332,Good
E. PLANCKAERT,Alpecin - Deceuninck,Sprinters,12,True,1.1,PLANCKAERT Edward,471.0,90.0,BE,Alpecin - Deceuninck,https://www.procyclingstats.com/rider/edward-planckaert,7.5,Poor
C. BRAZ AFONSO,Groupama - FDJ,Climbers,11,True,1.0,BRAZ AFONSO Clément,409.0,107.0,FR,Groupama - FDJ,https://www.procyclingstats.com/rider/clement-braz-afonso,9.727272727272727,Poor
F. GROSSSCHARTNER,UAE Team Emirates XRG,Climbers,11,True,1.0,GROßSCHARTNER Felix,116.0,359.0,AT,UAE Team Emirates - XRG,https://www.procyclingstats.com/rider/felix-grossschartner,32.63636363636363,Good
S. ANIOLKOWSKI,Cofidis,Sprinters,11,True,1.0,ANIOŁKOWSKI Stanisław,237.0,206.0,PL,Cofidis,https://www.procyclingstats.com/rider/stanislaw-aniolkowski,18.727272727272727,Average
G. MARTINEZ HUERTAS,Team Picnic PostNL,Climbers,11,True,1.0,MARTINEZ Juan Guillermo,335.0,140.0,CO,Team Picnic PostNL,https://www.procyclingstats.com/rider/guillermo-juan-martinez,12.727272727272727,Average
M. HEßMANN,Movistar Team,Climbers,11,True,1.0,HESSMANN Michel,1080.0,20.0,DE,Movistar Team,https://www.procyclingstats.com/rider/michel-hessmann,1.8181818181818181,Poor
S. CHUMIL GONZALEZ,Burgos-BH,Climbers,11,True,1.0,CHUMIL Sergio Geovani,358.0,127.0,GT,Burgos Burpellet BH,https://www.procyclingstats.com/rider/sergio-geovani-chumil-gonzalez,11.545454545454545,Average
L. ROULAND,Arkea-B&B Hotels Woman,Climbers,11,True,0.96,ROULAND Louis,492.0,83.0,FR,Arkéa - B&B Hotels,https://www.procyclingstats.com/rider/louis-rouland,7.545454545454546,Poor
B. RIVERA VARGAS,Ineos Grenadiers,Climbers,11,True,1.0,RIVERA Brandon Smith,424.0,103.0,CO,INEOS Grenadiers,https://www.procyclingstats.com/rider/brandon-smith-rivera-vargas,9.363636363636363,Poor
T. TRÆEN,Bahrain Victorious,Climbers,11,True,1.0,TRÆEN Torstein,446.0,97.0,NO,Bahrain - Victorious,https://www.procyclingstats.com/rider/torstein-traeen,8.818181818181818,Poor
J. HAIG,Bahrain Victorious,Climbers,11,True,1.0,HAIG Jack,452.0,95.0,AU,Bahrain - Victorious,https://www.procyclingstats.com/rider/jack-haig,8.636363636363637,Poor
C. CANAL BLANCO,Movistar Team,All-rounders,11,True,0.6760416666666665,OBANDO Bryan Raul,1741.0,4.0,EC,Movistar Best PC,https://www.procyclingstats.com/rider/bryan-raul-obando-rosas,0.36363636363636365,Poor
