fantasy_name,team,category,price,pcs_match_found,match_similarity,pcs_name,pcs_rank,pcs_points_2025,pcs_points_12m,pcs_nationality,pcs_team,pcs_url,wins_2026,value_points,points_per_credit,value_category
J. CEPEDA,Movistar Team,Climbers,11,True,1.068125,CEPEDA Jefferson Alveiro,167.0,228.0,257.0,EC,Movistar Team,https://www.procyclingstats.com/rider/jefferson-cepeda-hernandez,0,233.8,21.254545454545454,Average
J. CASTELLON RIBALTA,Caja Rural-Seguros RGA,Climbers,11,True,1.0,CASTELLON Jan,249.0,162.0,162.0,ES,Caja Rural - Seguros RGA,https://www.procyclingstats.com/rider/jan-castellon,0,162.0,14.727272727272727,Average
D. CARUSO,Bahrain Victorious,Climbers,11,True,1.1,CARUSO Damiano,125.0,273.0,317.0,IT,Bahrain - Victorious,https://www.procyclingstats.com/rider/damiano-caruso,0,281.8,25.61818181818182,Good
S. VELASCO,XDS Astana Team,All-rounders,11,True,1.0,VELASCO Simone,508.0,65.0,363.0,IT,XDS Astana Team,https://www.procyclingstats.com/rider/simone-velasco,0,124.6,11.327272727272726,Poor
M. HIRSCHI,Tudor Pro Cycling Team,All-rounders,11,True,1.0,HIRSCHI Marc,381.0,99.0,473.0,CH,Tudor Pro Cycling Team,https://www.procyclingstats.com/rider/marc-hirschi,0,173.8,15.8,Average
M. CATTANEO,Red Bull - BORA - hansgrohe,All-rounders,11,True,1.0,CATTANEO Mattia,523.0,63.0,106.0,IT,Red Bull - BORA - hansgrohe,https://www.procyclingstats.com/rider/mattia-cattaneo,1,71.6,6.834545454545455,Poor
M. SCHACHMANN,Soudal Quick-Step,All-rounders,11,True,1.0,SCHACHMANN Maximilian,537.0,62.0,107.0,DE,Soudal Quick-Step,https://www.procyclingstats.com/rider/maximilian-schachmann,0,71.0,6.454545454545454,Poor
I. ROMEO ABAD,Movistar Team,All-rounders,11,True,1.0,ROMEO Iván,69.0,392.0,518.0,ES,Movistar Team,https://www.procyclingstats.com/rider/ivan-romeo,3,417.2,43.61636363636364,Great
P. CASTRILLO ZAPATER,Movistar Team,Climbers,11,True,1.0,CASTRILLO Pablo,282.0,144.0,258.0,ES,Movistar Team,https://www.procyclingstats.com/rider/pablo-castrillo-zapater,1,166.8,15.921818181818184,Average
A. LEKNESSUND,Uno-X Mobility,Climbers,11,True,1.0,LEKNESSUND Andreas,64.0,403.0,581.0,NO,Uno-X Mobility,https://www.procyclingstats.com/rider/andreas-leknessund,0,438.6,39.872727272727275,Great
F. VAN DEN BROEK,Team Picnic PostNL,All-rounders,11,True,1.0,VAN DEN BROEK Frank,424.0,85.0,246.0,NL,Team Picnic PostNL,https://www.procyclingstats.com/rider/frank-van-den-broek,0,117.2,10.654545454545454,Poor
V. BRAET,Lotto Intermarché,Sprinters,11,True,1.0,BRAET Vito,267.0,154.0,189.0,BE,Lotto Intermarché,https://www.procyclingstats.com/rider/vito-braet,0,161.0,14.636363636363637,Average
H. PAGE,Cofidis,Sprinters,11,True,1.0,PAGE Hugo,474.0,72.0,128.0,FR,Cofidis,https://www.procyclingstats.com/rider/hugo-page,0,83.2,7.5636363636363635,Poor
G. BENNETT,NSN Cycling Team,Climbers,11,True,1.0,BENNETT George,270.0,152.0,164.0,NZ,NSN Cycling Team,https://www.procyclingstats.com/rider/george-bennett,1,154.4,14.73818181818182,Average
