name,points_12m
PICKRELL Riley,74.0
VERBRUGGHE Jens,74.0
DEGENKOLB John,73.0
LEEMREIZE Gijs,73.0
PEÑUELA Francisco Joel,73.0
BOULAHOITE Rayan,73.0
MULLEN Ryan,72.0
LIVYNS Arjen,72.0
BAYER Tobias,72.0
KLUCKERS Arthur,72.0
GRANGER Ben,72.0
CONSONNI Simone,71.0
AVANCINI Henrique da Silva,71.0
BATSAIKHAN Tegsh-Bayar,71.0
ZIJLAARD Maikel,71.0
QUINN Sean,71.0
BEISEMBAY Mansur,71.0
DILLIER Silvan,70.0
SMITH Dion,70.0
KOISHI Yuma,70.0
KOPECKÝ Tomáš,70.0
HEREMANS Joppe,70.0
HAJEK Alexander,70.0
BRUTTOMESSO Alberto,70.0
RAFFERTY Adam,70.0
SCHULTZ Nick,69.0
BIZKARRA Mikel,69.0
KÄMNA Lennard,69.0
MÄRKL Niklas,69.0
VOLTR Martin,69.0
TIVANI German Nicolás,68.0
NØRTOFT Morten Aalling,68.0
LAMBRECHT Michiel,68.0
CHESINI Cesare,68.0
ROJAS Vicente,68.0
WALLS Matthew,67.0
VANHOOF Ward,67.0
WALSH Liam,67.0
MUÑOZ Francisco,67.0
SKERL Daniel,67.0
SANLAVILLE Mathias,67.0
ALMUTAIWEI Mohammad,67.0
EEMAN Kamiel,67.0
BEULLENS Cedric,66.0
HESSMANN Michel,66.0
BRENES Sebastian,66.0
NEGRENTE Mattia,66.0
HOPKINS Kaden,65.0
DE ROSSI Lucas,65.0
TU Sergio,65.0
AUGÉ Ronan,65.0
KURITS Karl,65.0
GEENS Jonas,65.0
HOWSON Damien,64.0
SÉNÉCHAL Florian,64.0
DRIZNERS Jarrad,64.0
RICHARDS Kane,64.0
NARRAWAY Nicholas,64.0
CURRIE Logan,64.0
FELDMANN Karsten Larsen,64.0
THONNON Senne,64.0
PONOMAR Andrii,63.0
LAURYSSEN Yorben,63.0
STOLIĆ Mihajlo,63.0
HUBER Jan,63.0
RAMÍREZ Mateo,63.0
PEDRERO Antonio,62.0
KACZMAREK Jakub,62.0
FLYNN Sean,62.0
ORMISTON Callum,62.0
DINHAM Matthew,62.0
DE CASSAN Davide,62.0
HUISING Menno,62.0
ERMAKOV Roman,62.0
LORELLO Riccardo,62.0
ABU HARRAH Majid,62.0
MEZGEC Luka,61.0
BAIS Davide,61.0
KONIJN Alexander,61.0
CATALDO Lorenzo,61.0
JOHNSTON Calum,61.0
NSENGIYUMVA Shemu,61.0
LOZOUET Léandre,61.0
GRADEK Kamil,60.0
TRATNIK Jan,60.0
PAASSCHENS Mathijs,60.0
OGANDO Jonathan,60.0
DE JONG Timo,60.0
CHAMPION Thomas,60.0
QUICK Blake,60.0
LEAHY Conor,60.0
BLUME LEVY William,60.0
SERRANO Javier,60.0
RAFFERTY Darren,60.0
SYELHAN Muhammad,60.0
VAN DEN BERG Julius,59.0
GONZÁLEZ Roberto Carlos,59.0
CONTRERAS Rodrigo,59.0
VANHOUCKE Harm,59.0
JARNET Maxime,59.0
LÓPEZ Juan Pedro,59.0
VANDENABEELE Henri,59.0
HENNEQUIN Paul,59.0
TAMM Lauri,59.0
RODRIGUEZ Juan Felipe,59.0
DESTA Amaniel Teweldemedhn,59.0
LAGAB Azzedine,58.0
GENIETS Kevin,58.0
MAŁECKI Kamil,58.0
SAMUDIO Carlos,58.0
OTRUBA Jakub,58.0
KIM Euro,58.0
WALSH Finn,58.0
GIMENO Nil,58.0
FRAYRE Eder,57.0
BOUWMAN Koen,57.0
GAMPER Patrick,57.0
VAN HEMELEN Vincent,57.0
BESSEGA Gabriele,57.0
ROWE Elliot,57.0
DAUMAS Rémi,57.0
PERSICO Davide,56.0
HELLEMOSE Asbjørn,56.0
AZPARREN Xabier Mikel,56.0
MEDHANIE Natan,56.0
DEWEIRDT Siebe,56.0
ROGERS Cameron,56.0
VERVENNE Jonathan,56.0
WARD Jack,56.0
ZEMKE Jermaine,56.0
MARCHAND Gianni,55.0
DURBRIDGE Luke,55.0
BANASZEK Alan,55.0
KOLZE CHANGIZI Sebastian,55.0
VAN SINTMAARTENSDIJK Roel,55.0
HERZOG Emil,55.0
LOPES Lucas,55.0
PAPON Victor,55.0
REX Tim,55.0
MAIRE Adrien,54.0
PALENI Enzo,54.0
DALBY Simon,54.0
TARAKÇI Mustafa,54.0
MARIS Elias,53.0
CROCKETT Finn,53.0
KRIJNSEN Jelte,53.0
WEISS Fabian,53.0
POLLEFLIET Gianluca,53.0
DONZÉ Robin,53.0
IACOMONI Federico,53.0
SMITH William,53.0
MARIVOET Duarte,53.0
ØXENBERG Peter,53.0
LIENHARD Fabian,52.0
WALKER Max,52.0
JACKOWIAK Jan Michal,52.0
PHOUNSAVATH Ariya,51.0
KONRAD Patrick,51.0
VAN TRICHT Stan,51.0
PROĆ Bartłomiej,51.0
PIDCOCK Joseph,51.0
SHICHKIN Vlas,51.0
NOVÁK Pavel,51.0
SIMMONS Colby,51.0
HÉBERT Théo,51.0
VANHUFFEL Matteo,51.0
MUÑOZ Hodei,51.0
DOULL Owain,50.0
GARCÍA PIERNA Carlos,50.0
HAMZA Yacine,50.0
STOJNIĆ Veljko,50.0
VANÍČEK Šimon,50.0
MARTINELLI Alessio,50.0
DE COMARMOND Aurelien,50.0
SVRČEK Martin,50.0
SUTTON Louis,50.0
SOENENS Viktor,50.0
SAGRADO Alvaro,50.0
VÉLEZ Cristian Damián,50.0
ALEMAYO Tekle,50.0
VAN LERBERGHE Bert,49.0
SANDER HANSEN Marcus,49.0
RESELL Erik Nordsæter,49.0
GIDDINGS Joshua,49.0
BOLDYREV Matvei,49.0
GOGL Michael,48.0
ZOCCARATO Samuele,48.0
LINAREZ Leangel Rubén,48.0
ROUFFAER Lars,48.0
TAILLIEU Aldo,48.0
WILKSCH Hannes,47.0
GUDNITZ Joshua,47.0
QUINTANA Hector Exequiel,47.0
DOLVEN Halvor,47.0
SAVINO Federico,47.0
VAN ZANDEN Otto,47.0
MARTINEZ Juan Guillermo,47.0
BOUCHARD Geoffrey,46.0
OTTEMA Rick,46.0
LAUK Karl Patrick,46.0
MILTIADIS Andreas,46.0
KYFFIN Zeb,46.0
THOMPSON Reuben,46.0
KÄLLBERG Axel,46.0
BOCK Max,46.0
RABOUDE Jeremy,46.0
HAMILTON Lucas,45.0
SUNEKÆR NORSGAARD Mathias,45.0
VADER Milan,45.0
HESTERS Jules,45.0
DELACROIX Théo,45.0
BENNETT Stéfan,45.0
GONZALEZ Jyven,45.0
YU Yuanfeng,45.0
AVONDTS Mathis,45.0
OSES Luis Daniel,45.0
DUNWOODY Seth,45.0
BODDEN Christopher,45.0
STOSZ Patryk,44.0
SAFARZADEH Saeid,44.0
KAMZONG Clovis,44.0
COLNAGHI Luca,44.0
CHU Tsun Wai,44.0
TENE Rotem,44.0
MATTIO Pietro,44.0
VAN GILS Lucas,44.0
SAMITIER Sergio,43.0
GEORGE Alfred,43.0
RACCANI Simone,43.0
ÁLVAREZ Rodrigo,43.0
DIKE Joshua Ethan,43.0
DHONDT Robbe,43.0
STIANSEN Jesper,43.0
